

        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
200004  -1.83   9.51   1.30  -1.87 -10.67  -7.89  -4.44   5.17   7.55  -3.38
200005   7.24 -13.29  -1.54   9.50 -10.85 -10.06  -2.64   3.98   3.90   3.42
200006   2.36  -9.49  -1.08  -5.27  12.95   4.05  -2.34  10.70  -4.70  -2.81
200007   0.83   4.58  -0.61  -2.54  -5.17  -7.28  -1.38  -6.19   4.41   5.57
200008  -1.81   7.90   6.89   8.73  12.51  -1.07  -2.44   3.61  11.57   8.97
200009   3.42  -3.69  -5.93   4.45 -14.98  -4.01   2.73   3.68   9.58   0.40
200010   7.37   1.86   4.58  -2.92  -7.29  -0.39  -1.44   2.59  -2.18  -0.94
200011   2.79 -11.28  -3.64  -2.62 -23.28 -15.55  -1.37   0.76   3.03  -5.90
200012   5.27   1.44   7.08   7.63  -7.96  -4.27   5.63   3.53   6.53   7.17
200101  -1.90  13.43  -0.06  -3.39  16.55  14.26   6.60  -8.95 -10.30   0.00
200102   0.19  -1.25  -4.26   0.06 -25.94  -9.62  -5.37  -0.48   6.24  -4.26
200103  -4.62  -2.81  -7.30  -0.18 -13.59  -5.86  -2.86  -8.46   1.63  -4.12
200104   0.91   8.18   8.47  10.12  17.94   2.68   5.60   4.02   5.47   5.80
200105   3.36  -2.85   2.86   0.11  -3.32  -1.28   1.59   3.02   0.01   3.71
200106  -1.60   3.52  -4.42  -7.55   1.46  -3.06  -2.49  -2.81  -6.22   0.07
200107  -0.14   3.18   0.54  -2.29  -7.58  -0.72   4.56   2.28  -3.66  -2.34
200108   2.46 -11.14  -1.96  -3.47 -12.66  -9.26  -6.96  -3.12   0.42  -5.34
200109  -2.56 -16.87 -12.72  -5.54 -18.92  -2.45  -9.62  -0.61  -6.39  -8.29
200110   1.07   1.19   3.84   4.32  15.68  -9.44   1.65   1.20   1.40  -0.51
200111   2.08  15.18   8.36  -4.06  15.89   6.05  10.15   5.03  -1.61   7.94
200112   1.98  -0.77   2.64   5.96  -0.61   2.72   4.51  -2.88   3.85   3.25
200201   1.92   2.79   1.69  -2.88  -0.57  -7.21   2.77  -2.35  -4.07  -2.90
200202   4.36   3.17   4.25   5.41 -13.21  -2.39  -0.09  -0.51  -0.26  -0.48
200203   3.73   6.70   4.96   7.65   6.42   0.33   2.01   0.47  10.04   5.32
200204   2.66   1.99  -1.49  -4.57 -11.77 -12.68  -1.39  -7.60  -0.56  -3.73
200205   1.45  -0.45  -0.29  -0.73  -3.76   2.99  -1.28  -2.23  -6.47  -0.44
200206  -5.77  -8.39  -3.06  -0.11 -12.20 -14.37  -5.08  -9.61  -5.33  -5.44
200207  -6.72 -11.98  -8.48 -11.86  -9.56 -11.69 -11.30  -2.58 -12.30  -6.44
200208   2.49   0.44  -1.29   0.60  -0.85   0.34   1.90   0.67   3.36   1.07
200209  -7.68 -11.16  -8.25  -8.04 -16.74  -9.33  -9.40  -5.85 -10.86 -10.72
200210   5.26  -2.83   3.83   3.23  19.34  21.37   5.70   5.69  -0.68   6.41
200211  -1.28  12.02   6.12   3.08  16.17  11.81   1.93   3.70   1.62   4.64
200212   0.00  -6.57  -3.76   0.83 -13.02  -9.07  -6.93  -4.07   3.84  -4.98
200301  -4.79  -3.57  -4.03  -2.42  -1.47  -3.48  -4.77  -0.59  -3.12  -2.31
200302  -3.08  -4.86  -2.19   2.01   1.28  -6.47  -1.21  -1.94  -3.92  -2.59
200303  -2.67  -2.67   1.35   1.32  -0.99  -0.58   4.61   3.79   4.35   0.76
200304   4.69  15.15   6.27  -0.49   9.21  11.17   8.88   4.12   7.35  11.78
200305   9.22   2.79   4.66   8.77   9.73   6.26   3.41   3.92  10.11   5.31
200306   1.57   2.19   0.54  -1.15   0.25   1.96   3.46   4.10   0.66   0.94
200307  -2.33   6.65   4.89  -2.61   5.63  -1.62   3.32   0.63  -5.25   3.58
200308   0.66   8.08   4.12   6.24   6.06   1.39   6.75  -2.54   1.91   0.63
200309   1.11  -4.23  -3.70  -2.28  -0.89  -5.64  -4.53   0.23   3.91   0.30
200310   5.59   7.23   8.81   1.60   8.22   6.69   9.03   0.72   1.58   6.41
200311   3.78   3.11   2.06   0.61   1.90  -0.62   0.57   1.62   0.95   1.09
200312   3.31  11.96   6.73  13.49   2.12   7.37  -2.13   5.69   5.81   4.50
200401   0.13  -0.96  -0.67   0.33   4.48   1.44   0.46   3.03   1.91   2.71
200402   4.28  -0.23   2.00   4.64  -2.91  -0.79   6.08   0.90   2.06   1.99
200403  -0.30  -1.13  -0.20  -0.10  -2.57  -2.42   0.30  -3.90   1.16  -0.58
200404   1.51   2.52  -0.21   2.51  -4.89  -0.49  -2.68   3.57  -3.51  -3.83
200405  -2.19  -1.57   1.60   0.47   4.83  -2.90   0.27  -0.38   1.28   2.07
200406   1.87   5.45   5.32   5.44   2.63   0.61   0.07  -0.38   2.01   1.54
200407  -5.81  -4.78  -4.06   3.34  -8.47  -1.30  -3.98  -5.89   0.99  -2.40
200408   0.83  -2.38   1.31  -1.33  -4.42   1.27  -1.15   1.66   3.61   1.89
200409  -1.76   2.62   1.89   8.77   3.26   1.35   2.58  -1.41   1.36   1.27
200410   2.87  -2.84  -1.38   0.69   5.01   3.27   3.08  -2.40   4.18   1.23
200411   4.52   7.10   7.16   6.47   5.85   3.45   3.61   0.66   5.04   4.93
200412   4.80   4.89   2.59  -2.19   3.16   4.22   3.43   5.65   2.39   4.41
200501  -0.08  -6.81  -1.76   3.01  -6.09  -3.91  -1.08  -4.06   1.70  -2.47
200502   0.60  -0.45   4.09  19.14  -0.17  -0.15   0.86   2.47   2.32   0.23
200503  -0.88  -7.65  -1.44  -3.37  -2.39  -0.11   0.00  -0.42   0.58  -2.37
200504  -1.02 -11.16  -4.74  -5.73  -4.52  -1.99  -5.34   3.95   2.01  -1.63
200505   2.27   8.75   2.89   1.91   7.73   1.45   6.39   1.46   1.80   3.37
200506  -1.61   1.97  -1.17   5.81  -1.59   0.19   2.47  -0.56   5.59   1.42
200507   2.41   5.30   5.77   6.18   5.97   2.98   5.80   3.72   2.99   2.48
200508   0.10  -2.78  -1.43   5.57  -0.58  -1.10  -5.52  -0.31   1.16  -1.70
200509   0.25  -4.88   0.76   7.08   0.76  -1.49  -1.75  -1.95   4.39   1.24
200510  -1.81  -4.25  -2.43 -10.05  -1.65  -3.23   1.62  -3.25  -6.85   1.18
200511   1.01   2.29   5.32   1.24   6.50   2.56   3.98   1.56  -0.19   4.94
200512  -0.16  -0.77   1.45   0.57  -1.83  -1.59  -0.61   2.41   1.23   0.17
200601   0.18   6.03   5.05  12.55   3.74   3.72   1.98   2.19   3.05   1.53
200602   1.15  -0.59   1.19  -8.20  -1.29   3.33   1.44   1.09   0.23   1.09
200603   1.23   2.68   2.96   4.14   2.99   1.82   2.40  -0.98  -3.65   1.84
200604   1.03   0.57   4.00   4.72  -1.12   1.68  -1.66  -1.86   1.85   2.25
200605   1.30   0.43  -3.30  -3.51  -6.76  -0.30  -1.92  -2.19   1.52  -3.25
200606  -0.08   2.02  -0.50   2.56  -1.15   2.87   0.27  -0.15   2.40  -0.35
200607   3.52  -3.11  -3.59   4.82  -3.89   2.30  -4.28   4.25   4.84  -1.06
200608   2.91   2.22   2.21  -3.33   7.21   2.35   2.03   2.27   2.33   1.65
200609  -0.29   4.26   1.89  -3.73   3.74   3.38   5.76   1.66  -2.14   3.26
200610   2.82   5.12   4.24   5.17   4.26   5.35   3.88   1.61   5.35   2.87
200611   1.26   1.73   3.59   8.56   3.08   0.79  -1.31   0.06   3.02   1.67
200612   1.78  -1.03   0.67  -2.17  -1.01   4.41   1.48   0.06   0.70   3.27


